identifier;real_volume(M.m3.year-1)
Well #WJ000387B;26289.750
Well #TY004976F;34824.039
Well #LE100448L;140200.188
Well #KH004978J;29313.305
Well #JT000429V;21146.037
Well #GU100026R;105742.039
Tank #EQ300218U;979764.562
Spring #OE005146L;35756.078
Spring #NO100048E;285547.375
Spring #HC006507F;39246.184
Source #XL900000Q;1024.187
Source #VE900000U;1059.999
Source #RM900000J;1424.253
Source #ME900000L;5962.790
Source #LU900000G;1915.863
Source #FO900000D;3029.688
Source #CI900000T;6406.901
Resurgence #PK006506A;12498.411
Resurgence #OW003026Y;11013.580
Resurgence #NX002341F;33284.188
Resurgence #HI005751K;27040.891
Resurgence #HC006547Q;27773.227
Reservoir #KP300362K;1214267.500
Pond #EH200329N;585377.062
Intake #AH200210L;521684.781
Fountain #TV003403M;15518.174
Fountain #PP004445E;6627.261
Fountain #IX100392B;126760.695
Catchment basin #WK400021M;8587257.000
Borehole #SV200384I;550324.250
