identifier;source_volume(M.m3.year-1)
Unit #ZM000467G;1438.000
Unit #QZ001253U;6015.000
Unit #QJ001552C;1935.000
Unit #GV001308I;1034.000
Unit #EF000670W;3056.000
Unit #CS001608T;6476.000
Unit #BE000912S;1069.000
Plant #XX300097U;128678.000
Plant #VC300055Q;9011708.000
Plant #SZ200432X;141949.000
Plant #SO200633G;28060.000
Plant #RW200126Q;11130.000
Plant #RL300075V;6689.000
Plant #OU300273S;289546.000
Plant #NH200676Q;559927.000
Plant #MX200217V;595543.000
Plant #KZ200536U;26517.000
Plant #HZ200526K;107213.000
Plant #EY300227B;29550.000
Plant #BZ200552B;35107.000
Plant #BJ200441F;1005196.000
Module #ES100424A;33635.000
Module #EI101166Z;21317.000
Module #CM101143F;39617.000
Facility complex #XF400019H;27303.000
Facility complex #WA400034E;15658.000
Facility complex #RH400057F;36145.000
Facility complex #OC400007T;543292.000
Facility complex #EF400080V;1248617.000
